Customer ID,Age,Gender,Item Purchased,Category,Unit sold,Unit Price,Purchase_Amount_inr,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,1,2650,2650,Mumbai,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,40,UPI,Fortnightly
2,19,Male,Sweater,Clothing,1,3200,3200,Pune,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,42,PhonePe,Fortnightly
3,50,Male,Jeans,Clothing,3,3650,10950,Delhi,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,46,Google Pay,Weekly
4,21,Male,Sandals,Footwear,3,4500,13500,Bengaluru,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,42,Paytm,Weekly
5,45,Male,Blouse,Clothing,3,2450,7350,Hyderabad,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,50,Credit Card,Annually
6,46,Male,Sneakers,Footwear,1,1000,1000,Chennai,M,White,Summer,2.9,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
7,63,Male,Shirt,Clothing,2,4250,8500,Kolkata,M,Gray,Fall,,Yes,Free Shipping,Yes,Yes,31,Cash,Quarterly
8,27,Male,Shorts,Clothing,1,1700,1700,Ahmedabad,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,32,Net Banking,Weekly
9,26,Male,Coat,Outerwear,2,4850,9700,Surat,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,11,Amazon Pay,Annually
10,57,Male,Handbag,Accessories,3,1550,4650,Jaipur,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,32,EMI,Quarterly
11,53,Male,Shoes,Footwear,2,1700,3400,Lucknow,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,29,UPI,Bi-Weekly
12,30,Male,Shorts,Clothing,1,3400,3400,Kanpur,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,6,PhonePe,Fortnightly
13,61,Male,Coat,Outerwear,2,3600,7200,Nagpur,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,43,Google Pay,Fortnightly
14,65,Male,Dress,Clothing,2,2550,5100,Indore,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,42,Paytm,Weekly
15,64,Male,Coat,Outerwear,3,2650,7950,Bhopal,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,35,Credit Card,Weekly
16,64,Male,Skirt,Clothing,2,4050,8100,Patna,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,42,Debit Card,Monthly
17,25,Male,Sunglasses,Accessories,3,1800,5400,Ranchi,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,13,Cash,Bi-Weekly
18,53,Male,Dress,Clothing,2,1900,3800,Bhubaneswar,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,27,Net Banking,Quarterly
19,52,Male,Sweater,Clothing,3,2400,7200,Visakhapatnam,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,41,Amazon Pay,Weekly
20,66,Male,Pants,Clothing,1,4500,4500,Vijayawada,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,13,EMI,Bi-Weekly
21,21,Male,Pants,Clothing,3,2550,7650,Kochi,M,Black,Winter,2.8,Yes,Express,Yes,Yes,39,Cash,Every 3 Months
22,31,Male,Pants,Clothing,1,3100,3100,Thiruvananthapuram,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,30,Debit Card,Quarterly
23,56,Male,Pants,Clothing,1,1850,1850,Coimbatore,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,11,Debit Card,Annually
24,31,Male,Pants,Clothing,1,4400,4400,Madurai,XL,White,Winter,4.4,Yes,Express,Yes,Yes,22,Credit Card,Weekly
25,18,Male,Jacket,Outerwear,1,1100,1100,Mysuru,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,6,Debit Card,Weekly
26,18,Male,Hoodie,Clothing,2,1250,2500,Mangaluru,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,50,Paytm,Annually
27,38,Male,Jewelry,Accessories,2,1000,2000,Nashik,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,42,Credit Card,Annually
28,56,Male,Shorts,Clothing,2,2800,5600,Aurangabad,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,15,Debit Card,Every 3 Months
29,54,Male,Handbag,Accessories,5,4700,23500,Kolhapur,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,37,Cash on Delivery,Every 3 Months
30,31,Male,Dress,Clothing,2,2400,4800,Thane,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,30,Net Banking,Weekly
31,57,Male,Jewelry,Accessories,2,1550,3100,Navi Mumbai,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,10,Amazon Pay,Monthly
32,33,Male,Dress,Clothing,3,3950,11850,Vasai-Virar,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,38,EMI,Monthly
33,36,Male,Jacket,Outerwear,1,3350,3350,Kalyan-Dombivli,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,9,UPI,Annually
34,54,Male,Pants,Clothing,1,1900,1900,Noida,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,9,PhonePe,Quarterly
35,36,Male,T-shirt,Clothing,2,4550,9100,Gurugram,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,21,Google Pay,Quarterly
36,54,Male,Blouse,Clothing,3,1650,4950,Faridabad,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,16,Paytm,Bi-Weekly
37,35,Male,T-shirt,Clothing,2,3450,6900,Ghaziabad,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,23,Credit Card,Fortnightly
38,35,Male,Jeans,Clothing,3,2250,6750,Chandigarh,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,40,Debit Card,Weekly
39,29,Male,Dress,Clothing,1,1850,1850,Ludhiana,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,5,Cash,Every 3 Months
40,70,Male,Pants,Clothing,3,3000,9000,Amritsar,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,38,UPI,Monthly
41,69,Male,Handbag,Accessories,1,3800,3800,Jammu,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,27,PhonePe,Quarterly
42,67,Male,Scarf,Accessories,3,1950,5850,Srinagar,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,7,Google Pay,Annually
43,20,Male,Coat,Outerwear,1,5000,5000,Shimla,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,31,Paytm,Annually
44,25,Male,Scarf,Accessories,2,3450,6900,Dehradun,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,7,Credit Card,Fortnightly
45,39,Male,Hat,Accessories,5,2650,13250,Agra,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,6,Debit Card,Weekly
46,50,Male,Socks,Clothing,2,1050,2100,Varanasi,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,45,Net Banking,Annually
47,57,Male,Shirt,Clothing,1,2150,2150,Prayagraj,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,16,Amazon Pay,Quarterly
48,55,Male,Jewelry,Accessories,1,2700,2700,Gwalior,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,45,EMI,Weekly
49,42,Male,Shirt,Clothing,2,2750,5500,Jabalpur,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,6,Cash,Monthly
